;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_vect__max_df;param_vect__max_features;param_vect__min_df;param_vect__ngram_range;params;split0_test_accuracy;split1_test_accuracy;split2_test_accuracy;split3_test_accuracy;split4_test_accuracy;mean_test_accuracy;std_test_accuracy;rank_test_accuracy;split0_train_accuracy;split1_train_accuracy;split2_train_accuracy;split3_train_accuracy;split4_train_accuracy;mean_train_accuracy;std_train_accuracy;split0_test_f1_macro;split1_test_f1_macro;split2_test_f1_macro;split3_test_f1_macro;split4_test_f1_macro;mean_test_f1_macro;std_test_f1_macro;rank_test_f1_macro;split0_train_f1_macro;split1_train_f1_macro;split2_train_f1_macro;split3_train_f1_macro;split4_train_f1_macro;mean_train_f1_macro;std_train_f1_macro;split0_test_f1_weighted;split1_test_f1_weighted;split2_test_f1_weighted;split3_test_f1_weighted;split4_test_f1_weighted;mean_test_f1_weighted;std_test_f1_weighted;rank_test_f1_weighted;split0_train_f1_weighted;split1_train_f1_weighted;split2_train_f1_weighted;split3_train_f1_weighted;split4_train_f1_weighted;mean_train_f1_weighted;std_train_f1_weighted;split0_test_recall_macro;split1_test_recall_macro;split2_test_recall_macro;split3_test_recall_macro;split4_test_recall_macro;mean_test_recall_macro;std_test_recall_macro;rank_test_recall_macro;split0_train_recall_macro;split1_train_recall_macro;split2_train_recall_macro;split3_train_recall_macro;split4_train_recall_macro;mean_train_recall_macro;std_train_recall_macro;split0_test_recall_weighted;split1_test_recall_weighted;split2_test_recall_weighted;split3_test_recall_weighted;split4_test_recall_weighted;mean_test_recall_weighted;std_test_recall_weighted;rank_test_recall_weighted;split0_train_recall_weighted;split1_train_recall_weighted;split2_train_recall_weighted;split3_train_recall_weighted;split4_train_recall_weighted;mean_train_recall_weighted;std_train_recall_weighted;split0_test_precision_macro;split1_test_precision_macro;split2_test_precision_macro;split3_test_precision_macro;split4_test_precision_macro;mean_test_precision_macro;std_test_precision_macro;rank_test_precision_macro;split0_train_precision_macro;split1_train_precision_macro;split2_train_precision_macro;split3_train_precision_macro;split4_train_precision_macro;mean_train_precision_macro;std_train_precision_macro;split0_test_precision_weighted;split1_test_precision_weighted;split2_test_precision_weighted;split3_test_precision_weighted;split4_test_precision_weighted;mean_test_precision_weighted;std_test_precision_weighted;rank_test_precision_weighted;split0_train_precision_weighted;split1_train_precision_weighted;split2_train_precision_weighted;split3_train_precision_weighted;split4_train_precision_weighted;mean_train_precision_weighted;std_train_precision_weighted
27;0.667025375366211;0.09177614781875344;0.06574530601501465;0.014747158313500925;1.0;3000;0.15;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 3000, 'vect__min_df': 0.15, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.64;0.36;0.68;0.64;0.5793846153846154;0.11454918067319124;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6376811594202898;0.3333333333333333;0.6666666666666667;0.6376811594202898;0.5693153423288356;0.12207879849159144;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6365217391304347;0.32799999999999996;0.6693333333333333;0.638840579710145;0.5687820089955022;0.12457073134755516;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.6442307692307692;0.3685897435897436;0.6730769230769231;0.6378205128205128;0.5801282051282051;0.11030484922846143;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.64;0.36;0.68;0.64;0.5793846153846154;0.11454918067319124;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6499999999999999;0.3373015873015873;0.6985294117647058;0.6396103896103896;0.5813382777353364;0.12759133755285598;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6519999999999999;0.3352380952380953;0.6964705882352942;0.6397402597402597;0.5809397886427299;0.12823714989574575;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0
28;0.14036664962768555;0.010804849048818562;0.03780279159545898;0.009060735789496836;1.0;3000;0.2;(1, 1);{'vect__max_df': 1.0, 'vect__max_features': 3000, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 1)};0.5769230769230769;0.68;0.36;0.48;0.52;0.5233846153846153;0.10581394858890927;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.6794871794871795;0.3333333333333333;0.4663382594417077;0.49999999999999994;0.5079669311037498;0.11357001453584036;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.68;0.32799999999999996;0.46975369458128086;0.5039999999999999;0.5084859155675618;0.11509678360870335;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.576923076923077;0.6794871794871795;0.3685897435897436;0.47435897435897434;0.5128205128205128;0.5224358974358975;0.10364018827609305;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.68;0.36;0.48;0.52;0.5233846153846153;0.10581394858890927;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.6794871794871795;0.3373015873015873;0.4722222222222222;0.5147058823529411;0.5187989298283416;0.11494117395949584;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.68;0.3352380952380953;0.4733333333333333;0.5152941176470588;0.518828664799253;0.11564513865819422;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0
29;0.6889876842498779;0.07937359696421539;0.06901803016662597;0.011624067068132638;1.0;3000;0.2;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 3000, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.68;0.4;0.48;0.52;0.5313846153846153;0.09401296649836387;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.6794871794871795;0.3842364532019704;0.4663382594417077;0.49999999999999994;0.5181475550774772;0.09877737916896345;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.68;0.38029556650246304;0.46975369458128086;0.5039999999999999;0.5189450288680544;0.09954595180654156;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.576923076923077;0.6794871794871795;0.40705128205128205;0.47435897435897434;0.5128205128205128;0.5301282051282051;0.09279607271383372;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.68;0.4;0.48;0.52;0.5313846153846153;0.09401296649836387;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.6794871794871795;0.39338235294117646;0.4722222222222222;0.5147058823529411;0.5300150829562594;0.09820019278475085;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.68;0.3926470588235294;0.4733333333333333;0.5152941176470588;0.5303104575163398;0.09841354897695395;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0
30;0.13807973861694336;0.006977461960726122;0.03805727958679199;0.00879664988349542;1.0;5000;0.1;(1, 1);{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 1)};0.6153846153846154;0.72;0.64;0.72;0.64;0.667076923076923;0.044136421112716546;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7028862478777589;0.6305418719211823;0.7181964573268922;0.6376811594202898;0.6609380703861477;0.041420049544383136;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7000339558573853;0.6281773399014778;0.719098228663446;0.638840579710145;0.6603069439034138;0.041341945980024455;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7307692307692308;0.6474358974358975;0.717948717948718;0.6378205128205128;0.6698717948717949;0.04586806107691878;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.72;0.64;0.72;0.64;0.667076923076923;0.044136421112716546;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.8157894736842105;0.6691176470588236;0.7207792207792207;0.6396103896103896;0.6921362693034521;0.07111986362433594;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.8231578947368421;0.6723529411764706;0.7205194805194804;0.6397402597402597;0.6942310383115337;0.07345457234693832;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0
31;0.6620347976684571;0.020764511476952324;0.06718964576721191;0.01747666865855934;1.0;5000;0.1;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.72;0.6;0.72;0.6;0.6433846153846153;0.06312118522072158;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5762962962962963;0.7028862478777589;0.5833333333333334;0.7181964573268922;0.5941558441558441;0.634973635798025;0.06215143445956586;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5762962962962963;0.7000339558573853;0.58;0.719098228663446;0.5961038961038961;0.6343064753842048;0.062102422374098666;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.7307692307692308;0.608974358974359;0.717948717948718;0.5961538461538461;0.6461538461538462;0.06479117317176042;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.72;0.6;0.72;0.6;0.6433846153846153;0.06312118522072158;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5773809523809523;0.8157894736842105;0.6349206349206349;0.7207792207792207;0.6;0.6697740563530037;0.08779714629033983;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5773809523809524;0.8231578947368421;0.638095238095238;0.7205194805194804;0.6;0.6718307131465027;0.08998778016276969;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0
32;0.13445863723754883;0.012914314171438169;0.0358701229095459;0.006251461370766483;1.0;5000;0.15;(1, 1);{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.15, 'vect__ngram_range': (1, 1)};0.5769230769230769;0.64;0.36;0.72;0.56;0.5713846153846153;0.11969823991627133;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6376811594202898;0.3333333333333333;0.7126436781609196;0.5571658615136876;0.5624076850463657;0.12713539475665553;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6365217391304347;0.32799999999999996;0.7144827586206896;0.5585829307568438;0.5617603642623133;0.1293497395050471;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.6442307692307692;0.3685897435897436;0.7147435897435898;0.5576923076923077;0.5724358974358974;0.11592820671616563;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.64;0.36;0.72;0.56;0.5713846153846153;0.11969823991627133;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6499999999999999;0.3373015873015873;0.7326388888888888;0.5584415584415584;0.571926406926407;0.132092062066123;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6519999999999999;0.3352380952380953;0.7308333333333334;0.558961038961039;0.5716564935064936;0.1326191647882637;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0
33;0.6467408180236817;0.06451122022983181;0.06850214004516601;0.020282791271201705;1.0;5000;0.15;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.15, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.64;0.36;0.68;0.64;0.5793846153846154;0.11454918067319124;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6376811594202898;0.3333333333333333;0.6666666666666667;0.6376811594202898;0.5693153423288356;0.12207879849159144;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6365217391304347;0.32799999999999996;0.6693333333333333;0.638840579710145;0.5687820089955022;0.12457073134755516;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.6442307692307692;0.3685897435897436;0.6730769230769231;0.6378205128205128;0.5801282051282051;0.11030484922846143;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.64;0.36;0.68;0.64;0.5793846153846154;0.11454918067319124;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6499999999999999;0.3373015873015873;0.6985294117647058;0.6396103896103896;0.5813382777353364;0.12759133755285598;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6519999999999999;0.3352380952380953;0.6964705882352942;0.6397402597402597;0.5809397886427299;0.12823714989574575;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0
34;0.13555655479431153;0.011120052886309654;0.04175524711608887;0.0123830939436074;1.0;5000;0.2;(1, 1);{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 1)};0.5769230769230769;0.68;0.36;0.48;0.52;0.5233846153846153;0.10581394858890927;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.6794871794871795;0.3333333333333333;0.4663382594417077;0.49999999999999994;0.5079669311037498;0.11357001453584036;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.68;0.32799999999999996;0.46975369458128086;0.5039999999999999;0.5084859155675618;0.11509678360870335;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.576923076923077;0.6794871794871795;0.3685897435897436;0.47435897435897434;0.5128205128205128;0.5224358974358975;0.10364018827609305;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.68;0.36;0.48;0.52;0.5233846153846153;0.10581394858890927;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.6794871794871795;0.3373015873015873;0.4722222222222222;0.5147058823529411;0.5187989298283416;0.11494117395949584;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.68;0.3352380952380953;0.4733333333333333;0.5152941176470588;0.518828664799253;0.11564513865819422;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0
35;0.6501721382141114;0.044628680612845265;0.07405710220336914;0.0170962511491246;1.0;5000;0.2;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.68;0.4;0.48;0.52;0.5313846153846153;0.09401296649836387;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.6794871794871795;0.3842364532019704;0.4663382594417077;0.49999999999999994;0.5181475550774772;0.09877737916896345;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.68;0.38029556650246304;0.46975369458128086;0.5039999999999999;0.5189450288680544;0.09954595180654156;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.576923076923077;0.6794871794871795;0.40705128205128205;0.47435897435897434;0.5128205128205128;0.5301282051282051;0.09279607271383372;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.68;0.4;0.48;0.52;0.5313846153846153;0.09401296649836387;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.6794871794871795;0.39338235294117646;0.4722222222222222;0.5147058823529411;0.5300150829562594;0.09820019278475085;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.68;0.3926470588235294;0.4733333333333333;0.5152941176470588;0.5303104575163398;0.09841354897695395;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0
36;0.143967866897583;0.006873195508813987;0.03767542839050293;0.006202782862963245;1.0;10000;0.1;(1, 1);{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 1)};0.6153846153846154;0.72;0.64;0.72;0.64;0.667076923076923;0.044136421112716546;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7028862478777589;0.6305418719211823;0.7181964573268922;0.6376811594202898;0.6609380703861477;0.041420049544383136;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7000339558573853;0.6281773399014778;0.719098228663446;0.638840579710145;0.6603069439034138;0.041341945980024455;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7307692307692308;0.6474358974358975;0.717948717948718;0.6378205128205128;0.6698717948717949;0.04586806107691878;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.72;0.64;0.72;0.64;0.667076923076923;0.044136421112716546;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.8157894736842105;0.6691176470588236;0.7207792207792207;0.6396103896103896;0.6921362693034521;0.07111986362433594;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.8231578947368421;0.6723529411764706;0.7205194805194804;0.6397402597402597;0.6942310383115337;0.07345457234693832;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0
37;0.5922595500946045;0.04300939283511159;0.07461180686950683;0.02274787709412641;1.0;10000;0.1;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.72;0.6;0.72;0.6;0.6433846153846153;0.06312118522072158;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5762962962962963;0.7028862478777589;0.5833333333333334;0.7181964573268922;0.5941558441558441;0.634973635798025;0.06215143445956586;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5762962962962963;0.7000339558573853;0.58;0.719098228663446;0.5961038961038961;0.6343064753842048;0.062102422374098666;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.7307692307692308;0.608974358974359;0.717948717948718;0.5961538461538461;0.6461538461538462;0.06479117317176042;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.72;0.6;0.72;0.6;0.6433846153846153;0.06312118522072158;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5773809523809523;0.8157894736842105;0.6349206349206349;0.7207792207792207;0.6;0.6697740563530037;0.08779714629033983;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5773809523809524;0.8231578947368421;0.638095238095238;0.7205194805194804;0.6;0.6718307131465027;0.08998778016276969;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0
38;0.12812743186950684;0.005371394680679948;0.035230064392089845;0.008018155759763945;1.0;10000;0.15;(1, 1);{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.15, 'vect__ngram_range': (1, 1)};0.5769230769230769;0.64;0.36;0.72;0.56;0.5713846153846153;0.11969823991627133;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6376811594202898;0.3333333333333333;0.7126436781609196;0.5571658615136876;0.5624076850463657;0.12713539475665553;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6365217391304347;0.32799999999999996;0.7144827586206896;0.5585829307568438;0.5617603642623133;0.1293497395050471;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.6442307692307692;0.3685897435897436;0.7147435897435898;0.5576923076923077;0.5724358974358974;0.11592820671616563;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.64;0.36;0.72;0.56;0.5713846153846153;0.11969823991627133;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6499999999999999;0.3373015873015873;0.7326388888888888;0.5584415584415584;0.571926406926407;0.132092062066123;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6519999999999999;0.3352380952380953;0.7308333333333334;0.558961038961039;0.5716564935064936;0.1326191647882637;64;1.0;1.0;1.0;1.0;1.0;1.0;0.0
39;0.6598225116729737;0.04412778803348267;0.06916975975036621;0.011508192953569989;1.0;10000;0.15;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.15, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.64;0.36;0.68;0.64;0.5793846153846154;0.11454918067319124;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6376811594202898;0.3333333333333333;0.6666666666666667;0.6376811594202898;0.5693153423288356;0.12207879849159144;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5712143928035982;0.6365217391304347;0.32799999999999996;0.6693333333333333;0.638840579710145;0.5687820089955022;0.12457073134755516;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.6442307692307692;0.3685897435897436;0.6730769230769231;0.6378205128205128;0.5801282051282051;0.11030484922846143;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.64;0.36;0.68;0.64;0.5793846153846154;0.11454918067319124;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6499999999999999;0.3373015873015873;0.6985294117647058;0.6396103896103896;0.5813382777353364;0.12759133755285598;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.58125;0.6519999999999999;0.3352380952380953;0.6964705882352942;0.6397402597402597;0.5809397886427299;0.12823714989574575;43;1.0;1.0;1.0;1.0;1.0;1.0;0.0
40;0.14308438301086426;0.027403029161841636;0.03506503105163574;0.007825063985538757;1.0;10000;0.2;(1, 1);{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 1)};0.5769230769230769;0.68;0.36;0.48;0.52;0.5233846153846153;0.10581394858890927;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.6794871794871795;0.3333333333333333;0.4663382594417077;0.49999999999999994;0.5079669311037498;0.11357001453584036;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.68;0.32799999999999996;0.46975369458128086;0.5039999999999999;0.5084859155675618;0.11509678360870335;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.576923076923077;0.6794871794871795;0.3685897435897436;0.47435897435897434;0.5128205128205128;0.5224358974358975;0.10364018827609305;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.68;0.36;0.48;0.52;0.5233846153846153;0.10581394858890927;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.6794871794871795;0.3373015873015873;0.4722222222222222;0.5147058823529411;0.5187989298283416;0.11494117395949584;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.68;0.3352380952380953;0.4733333333333333;0.5152941176470588;0.518828664799253;0.11564513865819422;106;1.0;1.0;1.0;1.0;1.0;1.0;0.0
41;0.6440528392791748;0.05794417338407443;0.06689109802246093;0.015457596164270249;1.0;10000;0.2;(1, 2);{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.68;0.4;0.48;0.52;0.5313846153846153;0.09401296649836387;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.6794871794871795;0.3842364532019704;0.4663382594417077;0.49999999999999994;0.5181475550774772;0.09877737916896345;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5606758832565284;0.68;0.38029556650246304;0.46975369458128086;0.5039999999999999;0.5189450288680544;0.09954595180654156;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.576923076923077;0.6794871794871795;0.40705128205128205;0.47435897435897434;0.5128205128205128;0.5301282051282051;0.09279607271383372;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.68;0.4;0.48;0.52;0.5313846153846153;0.09401296649836387;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.6794871794871795;0.39338235294117646;0.4722222222222222;0.5147058823529411;0.5300150829562594;0.09820019278475085;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5902777777777778;0.68;0.3926470588235294;0.4733333333333333;0.5152941176470588;0.5303104575163398;0.09841354897695395;85;1.0;1.0;1.0;1.0;1.0;1.0;0.0
42;0.1282033920288086;0.007562638376880491;0.03541069030761719;0.008574751803781805;0.9;;0.1;(1, 1);{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 1)};0.6153846153846154;0.72;0.64;0.72;0.64;0.667076923076923;0.044136421112716546;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7028862478777589;0.6305418719211823;0.7181964573268922;0.6376811594202898;0.6609380703861477;0.041420049544383136;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7000339558573853;0.6281773399014778;0.719098228663446;0.638840579710145;0.6603069439034138;0.041341945980024455;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.7307692307692308;0.6474358974358975;0.717948717948718;0.6378205128205128;0.6698717948717949;0.04586806107691878;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.72;0.64;0.72;0.64;0.667076923076923;0.044136421112716546;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.8157894736842105;0.6691176470588236;0.7207792207792207;0.6396103896103896;0.6921362693034521;0.07111986362433594;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6153846153846154;0.8231578947368421;0.6723529411764706;0.7205194805194804;0.6397402597402597;0.6942310383115337;0.07345457234693832;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0
43;0.42200260162353515;0.06274965064863511;0.06420412063598632;0.015028688453229435;0.9;;0.1;(1, 2);{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 2)};0.5769230769230769;0.72;0.6;0.72;0.6;0.6433846153846153;0.06312118522072158;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5762962962962963;0.7028862478777589;0.5833333333333334;0.7181964573268922;0.5941558441558441;0.634973635798025;0.06215143445956586;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5762962962962963;0.7000339558573853;0.58;0.719098228663446;0.5961038961038961;0.6343064753842048;0.062102422374098666;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.7307692307692308;0.608974358974359;0.717948717948718;0.5961538461538461;0.6461538461538462;0.06479117317176042;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5769230769230769;0.72;0.6;0.72;0.6;0.6433846153846153;0.06312118522072158;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5773809523809523;0.8157894736842105;0.6349206349206349;0.7207792207792207;0.6;0.6697740563530037;0.08779714629033983;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5773809523809524;0.8231578947368421;0.638095238095238;0.7205194805194804;0.6;0.6718307131465027;0.08998778016276969;22;1.0;1.0;1.0;1.0;1.0;1.0;0.0
